Location,Area,No. of Beds,No. of Baths,Price,Date Listed,Date Updated,Link,Image Link
Sample Location Name,6 Marla,4.0,5.0,XXXXX,Added: 2 weeks ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,5 Marla,4.0,4.0,XXXXX,Added: 2 weeks ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,12 Marla,6.0,6.0,XXXXX,Added: 2 weeks ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,5 Marla,4.0,4.0,XXXXX,Added: 2 weeks ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,8 Marla,4.0,4.0,XXXXX,Added: 2 weeks ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,5.6 Marla,4.0,6.0,XXXXX,Added: 2 weeks ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,5 Marla,3.0,3.0,XXXXX,Added: 2 weeks ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,6 Marla,3.0,4.0,XXXXX,Added: 2 weeks ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,5 Marla,3.0,4.0,XXXXX,Added: 2 weeks ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,6 Marla,6.0,6.0,XXXXX,Added: 2 weeks ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,5 Marla,,4.0,XXXXX,Added: 2 weeks ago,(Updated: 2 days ago),N/A,N/A
Sample Location Name,8 Marla,3.0,4.0,XXXXX,Added: 2 weeks ago,(Updated: 3 days ago),N/A,N/A
Sample Location Name,6 Marla,3.0,3.0,XXXXX,Added: 2 weeks ago,(Updated: 3 days ago),N/A,N/A
Sample Location Name,8 Marla,5.0,6.0,XXXXX,Added: 3 weeks ago,(Updated: 3 days ago),N/A,N/A
Sample Location Name,6 Marla,4.0,6.0,XXXXX,Added: 3 weeks ago,(Updated: 5 days ago),N/A,N/A
Sample Location Name,6 Marla,3.0,4.0,XXXXX,Added: 3 weeks ago,(Updated: 5 days ago),N/A,N/A
Sample Location Name,6.7 Marla,3.0,4.0,XXXXX,Added: 3 weeks ago,(Updated: 5 days ago),N/A,N/A
Sample Location Name,8 Marla,8.0,6.0,XXXXX,Added: 3 weeks ago,(Updated: 5 days ago),N/A,N/A
Sample Location Name,5 Marla,4.0,4.0,XXXXX,Added: 3 weeks ago,(Updated: 1 week ago),N/A,N/A
Sample Location Name,5 Marla,4.0,4.0,XXXXX,Added: 3 weeks ago,(Updated: 1 week ago),N/A,N/A
Sample Location Name,8 Marla,7.0,6.0,XXXXX,Added: 3 weeks ago,(Updated: 1 week ago),N/A,N/A
Sample Location Name,14 Marla,7.0,6.0,XXXXX,Added: 3 weeks ago,(Updated: 1 week ago),N/A,N/A
Sample Location Name,5 Marla,4.0,5.0,XXXXX,Added: 4 weeks ago,(Updated: 1 week ago),N/A,N/A
Sample Location Name,6 Marla,3.0,3.0,XXXXX,Added: 4 weeks ago,(Updated: 1 week ago),N/A,N/A
Sample Location Name,5 Marla,4.0,4.0,XXXXX,Added: 4 weeks ago,(Updated: 1 week ago),N/A,N/A
Sample Location Name,5 Marla,3.0,4.0,XXXXX,Added: 4 weeks ago,(Updated: 1 week ago),N/A,N/A
Sample Location Name,5 Marla,4.0,4.0,XXXXX,Added: 4 weeks ago,(Updated: 1 week ago),N/A,N/A
Sample Location Name,5 Marla,4.0,5.0,XXXXX,Added: 4 weeks ago,(Updated: 2 weeks ago),N/A,N/A
Sample Location Name,6 Marla,4.0,5.0,XXXXX,Added: 4 weeks ago,(Updated: 2 weeks ago),N/A,N/A
Sample Location Name,5 Marla,4.0,5.0,XXXXX,Added: 4 weeks ago,(Updated: 2 weeks ago),N/A,N/A
Sample Location Name,12 Marla,7.0,7.0,XXXXX,Added: 4 weeks ago,(Updated: 2 weeks ago),N/A,N/A
Sample Location Name,5 Marla,4.0,5.0,XXXXX,Added: 4 weeks ago,(Updated: 2 weeks ago),N/A,N/A
Sample Location Name,5 Marla,3.0,4.0,XXXXX,Added: 4 weeks ago,(Updated: 2 weeks ago),N/A,N/A
Sample Location Name,6 Marla,2.0,3.0,XXXXX,Added: 4 weeks ago,(Updated: 2 weeks ago),N/A,N/A
Sample Location Name,8 Marla,6.0,6.0,XXXXX,Added: 4 weeks ago,(Updated: 2 weeks ago),N/A,N/A
Sample Location Name,2.7 Marla,4.0,4.0,XXXXX,Added: 4 weeks ago,(Updated: 2 weeks ago),N/A,N/A
Sample Location Name,5 Marla,3.0,3.0,XXXXX,Added: 4 weeks ago,(Updated: 2 weeks ago),N/A,N/A
Sample Location Name,6 Marla,5.0,6.0,XXXXX,Added: 4 weeks ago,(Updated: 2 weeks ago),N/A,N/A
Sample Location Name,6 Marla,2.0,3.0,XXXXX,Added: 4 weeks ago,(Updated: 2 weeks ago),N/A,N/A
Sample Location Name,6 Marla,4.0,6.0,XXXXX,Added: 4 weeks ago,(Updated: 2 weeks ago),N/A,N/A
Sample Location Name,5 Marla,2.0,3.0,XXXXX,Added: 4 weeks ago,(Updated: 2 weeks ago),N/A,N/A
Sample Location Name,8 Marla,7.0,6.0,XXXXX,Added: 4 weeks ago,(Updated: 2 weeks ago),N/A,N/A
Sample Location Name,11 Marla,7.0,6.0,XXXXX,Added: 4 weeks ago,(Updated: 2 weeks ago),N/A,N/A
Sample Location Name,16 Marla,7.0,6.0,XXXXX,Added: 4 weeks ago,(Updated: 2 weeks ago),N/A,N/A
Sample Location Name,8 Marla,4.0,4.0,XXXXX,Added: 4 weeks ago,(Updated: 2 weeks ago),N/A,N/A
Sample Location Name,5.5 Marla,4.0,5.0,XXXXX,Added: 4 weeks ago,(Updated: 2 weeks ago),N/A,N/A
Sample Location Name,5 Marla,3.0,4.0,XXXXX,Added: 4 weeks ago,(Updated: 2 weeks ago),N/A,N/A
Sample Location Name,8 Marla,7.0,6.0,XXXXX,Added: 4 weeks ago,(Updated: 8 hours ago),N/A,N/A
Sample Location Name,6 Marla,3.0,5.0,XXXXX,Added: 1 month ago,(Updated: 2 weeks ago),N/A,N/A
Sample Location Name,5 Marla,4.0,5.0,XXXXX,Added: 1 month ago,(Updated: 2 weeks ago),N/A,N/A
Sample Location Name,6 Marla,4.0,5.0,XXXXX,Added: 1 month ago,(Updated: 3 weeks ago),N/A,N/A
Sample Location Name,6 Marla,4.0,5.0,XXXXX,Added: 1 month ago,(Updated: 2 weeks ago),N/A,N/A
Sample Location Name,2 Marla,2.0,2.0,XXXXX,Added: 1 month ago,(Updated: 3 weeks ago),N/A,N/A
Sample Location Name,5 Marla,4.0,5.0,XXXXX,Added: 1 month ago,(Updated: 6 days ago),N/A,N/A
Sample Location Name,5 Marla,3.0,3.0,XXXXX,Added: 1 month ago,(Updated: 6 days ago),N/A,N/A
Sample Location Name,5 Marla,4.0,6.0,XXXXX,Added: 1 month ago,(Updated: 6 days ago),N/A,N/A
Sample Location Name,8 Marla,4.0,4.0,XXXXX,Added: 1 month ago,(Updated: 3 weeks ago),N/A,N/A
Sample Location Name,5 Marla,4.0,5.0,XXXXX,Added: 1 month ago,(Updated: 1 week ago),N/A,N/A
Sample Location Name,5 Marla,3.0,3.0,XXXXX,Added: 1 month ago,(Updated: 1 week ago),N/A,N/A
Sample Location Name,6 Marla,4.0,4.0,XXXXX,Added: 1 month ago,(Updated: 1 week ago),N/A,N/A
Sample Location Name,5 Marla,,2.0,XXXXX,Added: 1 month ago,(Updated: 1 week ago),N/A,N/A
Sample Location Name,12.4 Marla,6.0,6.0,XXXXX,Added: 1 month ago,(Updated: 1 week ago),N/A,N/A
Sample Location Name,5 Marla,2.0,3.0,XXXXX,Added: 1 month ago,(Updated: 1 week ago),N/A,N/A
Sample Location Name,6 Marla,4.0,5.0,XXXXX,Added: 1 month ago,(Updated: 1 week ago),N/A,N/A
Sample Location Name,8 Marla,6.0,6.0,XXXXX,Added: 1 month ago,(Updated: 1 week ago),N/A,N/A
Sample Location Name,5 Marla,4.0,4.0,XXXXX,Added: 1 month ago,(Updated: 2 hours ago),N/A,N/A
Sample Location Name,8 Marla,5.0,5.0,XXXXX,Added: 1 month ago,(Updated: 4 weeks ago),N/A,N/A
Sample Location Name,5 Marla,3.0,4.0,XXXXX,Added: 1 month ago,(Updated: 2 weeks ago),N/A,N/A
Sample Location Name,6.1 Marla,3.0,4.0,XXXXX,Added: 1 month ago,(Updated: 4 weeks ago),N/A,N/A
Sample Location Name,6 Marla,2.0,3.0,XXXXX,Added: 1 month ago,(Updated: 2 weeks ago),N/A,N/A
Sample Location Name,6 Marla,4.0,5.0,XXXXX,Added: 1 month ago,(Updated: 2 weeks ago),N/A,N/A
Sample Location Name,5 Marla,3.0,4.0,XXXXX,Added: 1 month ago,(Updated: 2 weeks ago),N/A,N/A
Sample Location Name,5 Marla,3.0,4.0,XXXXX,Added: 1 month ago,(Updated: 2 weeks ago),N/A,N/A
Sample Location Name,8 Marla,6.0,6.0,XXXXX,Added: 1 month ago,(Updated: 4 weeks ago),N/A,N/A
Sample Location Name,6 Marla,4.0,5.0,XXXXX,Added: 1 month ago,(Updated: 2 weeks ago),N/A,N/A
Sample Location Name,4.5 Marla,2.0,2.0,XXXXX,Added: 1 month ago,(Updated: 2 weeks ago),N/A,N/A
Sample Location Name,5 Marla,4.0,4.0,XXXXX,Added: 1 month ago,(Updated: 1 month ago),N/A,N/A
Sample Location Name,6 Marla,4.0,5.0,XXXXX,Added: 1 month ago,(Updated: 4 weeks ago),N/A,N/A
Sample Location Name,8 Marla,4.0,5.0,XXXXX,Added: 1 month ago,(Updated: 1 month ago),N/A,N/A
Sample Location Name,5 Marla,4.0,4.0,XXXXX,Added: 1 month ago,(Updated: 1 month ago),N/A,N/A
Sample Location Name,6 Marla,4.0,6.0,XXXXX,Added: 1 month ago,(Updated: 3 weeks ago),N/A,N/A
Sample Location Name,5.6 Marla,3.0,4.0,XXXXX,Added: 2 months ago,(Updated: 1 month ago),N/A,N/A
Sample Location Name,6 Marla,4.0,4.0,XXXXX,Added: 2 months ago,(Updated: 1 month ago),N/A,N/A
Sample Location Name,5 Marla,3.0,3.0,XXXXX,Added: 2 months ago,(Updated: 1 month ago),N/A,N/A
Sample Location Name,5 Marla,3.0,4.0,XXXXX,Added: 2 months ago,(Updated: 1 month ago),N/A,N/A
Sample Location Name,6 Marla,4.0,4.0,XXXXX,Added: 2 months ago,(Updated: 1 month ago),N/A,N/A
Sample Location Name,5 Marla,4.0,5.0,XXXXX,Added: 2 months ago,(Updated: 1 month ago),N/A,N/A
Sample Location Name,5 Marla,3.0,4.0,XXXXX,Added: 2 months ago,(Updated: 3 weeks ago),N/A,N/A
Sample Location Name,6 Marla,4.0,5.0,XXXXX,Added: 2 months ago,(Updated: 3 weeks ago),N/A,N/A
Sample Location Name,6 Marla,4.0,6.0,XXXXX,Added: 2 months ago,(Updated: 3 weeks ago),N/A,N/A
Sample Location Name,5.6 Marla,3.0,4.0,XXXXX,Added: 2 months ago,(Updated: 1 month ago),N/A,N/A
Sample Location Name,5 Marla,3.0,4.0,XXXXX,Added: 2 months ago,(Updated: 3 weeks ago),N/A,N/A
Sample Location Name,8 Marla,6.0,7.0,XXXXX,Added: 2 months ago,(Updated: 3 weeks ago),N/A,N/A
Sample Location Name,6 Marla,4.0,5.0,XXXXX,Added: 2 months ago,(Updated: 3 weeks ago),N/A,N/A
Sample Location Name,13 Marla,6.0,7.0,XXXXX,Added: 2 months ago,(Updated: 4 weeks ago),N/A,N/A
Sample Location Name,8 Marla,6.0,6.0,XXXXX,Added: 2 months ago,(Updated: 4 weeks ago),N/A,N/A
Sample Location Name,8 Marla,4.0,5.0,XXXXX,Added: 2 months ago,(Updated: 4 weeks ago),N/A,N/A
Sample Location Name,6 Marla,4.0,6.0,XXXXX,Added: 2 months ago,(Updated: 4 weeks ago),N/A,N/A
Sample Location Name,5 Marla,4.0,6.0,XXXXX,Added: 2 months ago,(Updated: 4 weeks ago),N/A,N/A
Sample Location Name,5 Marla,4.0,6.0,XXXXX,Added: 2 months ago,(Updated: 1 month ago),N/A,N/A
Sample Location Name,6 Marla,4.0,6.0,XXXXX,Added: 2 months ago,(Updated: 1 month ago),N/A,N/A
Sample Location Name,6 Marla,3.0,4.0,XXXXX,Added: 2 months ago,(Updated: 1 month ago),N/A,N/A
Sample Location Name,6 Marla,3.0,4.0,XXXXX,Added: 2 months ago,(Updated: 1 month ago),N/A,N/A
Sample Location Name,6 Marla,4.0,5.0,XXXXX,Added: 2 months ago,(Updated: 3 weeks ago),N/A,N/A
Sample Location Name,13 Marla,6.0,6.0,XXXXX,Added: 2 months ago,(Updated: 4 weeks ago),N/A,N/A
Sample Location Name,7 Marla,4.0,5.0,XXXXX,Added: 2 months ago,(Updated: 4 weeks ago),N/A,N/A
Sample Location Name,6 Marla,3.0,4.0,XXXXX,Added: 2 months ago,(Updated: 1 month ago),N/A,N/A
Sample Location Name,1 Kanal,6.0,6.0,XXXXX,Added: 2 months ago,(Updated: 2 weeks ago),N/A,N/A
Sample Location Name,6 Marla,2.0,2.0,XXXXX,Added: 2 months ago,(Updated: 1 month ago),N/A,N/A
Sample Location Name,6 Marla,2.0,3.0,XXXXX,Added: 2 months ago,(Updated: 1 month ago),N/A,N/A
Sample Location Name,5 Marla,3.0,4.0,XXXXX,Added: 3 months ago,(Updated: 1 month ago),N/A,N/A
Sample Location Name,6 Marla,3.0,3.0,XXXXX,Added: 3 months ago,(Updated: 1 month ago),N/A,N/A
Sample Location Name,5 Marla,2.0,3.0,XXXXX,Added: 4 months ago,(Updated: 1 month ago),N/A,N/A
Sample Location Name,6 Marla,3.0,4.0,XXXXX,Added: 4 months ago,(Updated: 1 month ago),N/A,N/A
Sample Location Name,5 Marla,2.0,3.0,XXXXX,Added: 6 months ago,(Updated: 1 week ago),N/A,N/A
Sample Location Name,11 Marla,4.0,5.0,XXXXX,Added: 2 weeks ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,6 Marla,3.0,4.0,XXXXX,Added: 2 weeks ago,(Updated: 3 days ago),N/A,N/A
Sample Location Name,5 Marla,4.0,4.0,XXXXX,Added: 1 month ago,(Updated: 2 weeks ago),N/A,N/A
Sample Location Name,5 Marla,4.0,4.0,XXXXX,Added: 1 month ago,(Updated: 4 weeks ago),N/A,N/A
Sample Location Name,5 Marla,4.0,5.0,XXXXX,Added: 2 months ago,(Updated: 4 weeks ago),N/A,N/A
Sample Location Name,5 Marla,4.0,5.0,XXXXX,Added: 1 month ago,(Updated: 4 weeks ago),N/A,N/A
Sample Location Name,5 Marla,4.0,6.0,XXXXX,Added: 3 weeks ago,(Updated: 4 days ago),N/A,N/A
Sample Location Name,5 Marla,4.0,4.0,XXXXX,Added: 1 month ago,(Updated: 2 weeks ago),N/A,N/A
Sample Location Name,5 Marla,3.0,4.0,XXXXX,Added: 2 months ago,(Updated: 1 month ago),N/A,N/A
Sample Location Name,5 Marla,3.0,3.0,XXXXX,Added: 3 weeks ago,(Updated: 4 days ago),N/A,N/A
Sample Location Name,8.9 Marla,6.0,6.0,XXXXX,Added: 3 weeks ago,(Updated: 5 days ago),N/A,N/A
Sample Location Name,6 Marla,3.0,3.0,XXXXX,Added: 3 weeks ago,(Updated: 6 days ago),N/A,N/A
Sample Location Name,6 Marla,3.0,4.0,XXXXX,Added: 3 weeks ago,(Updated: 6 days ago),N/A,N/A
Sample Location Name,5 Marla,2.0,2.0,XXXXX,Added: 3 weeks ago,(Updated: 6 days ago),N/A,N/A
Sample Location Name,5 Marla,4.0,4.0,XXXXX,Added: 3 weeks ago,(Updated: 6 days ago),N/A,N/A
Sample Location Name,5 Marla,3.0,3.0,XXXXX,Added: 3 weeks ago,(Updated: 6 days ago),N/A,N/A
Sample Location Name,5 Marla,4.0,4.0,XXXXX,Added: 3 weeks ago,(Updated: 6 days ago),N/A,N/A
Sample Location Name,5 Marla,4.0,5.0,XXXXX,Added: 3 weeks ago,(Updated: 6 days ago),N/A,N/A
Sample Location Name,8 Marla,5.0,5.0,XXXXX,Added: 3 weeks ago,(Updated: 6 days ago),N/A,N/A
Sample Location Name,6 Marla,3.0,3.0,XXXXX,Added: 3 weeks ago,(Updated: 6 days ago),N/A,N/A
Sample Location Name,6 Marla,4.0,4.0,XXXXX,Added: 3 weeks ago,(Updated: 6 days ago),N/A,N/A
Sample Location Name,5 Marla,2.0,3.0,XXXXX,Added: 3 weeks ago,(Updated: 6 days ago),N/A,N/A
Sample Location Name,3 Marla,8.0,5.0,XXXXX,Added: 3 weeks ago,(Updated: 6 days ago),N/A,N/A
Sample Location Name,6 Marla,2.0,2.0,XXXXX,Added: 3 weeks ago,(Updated: 6 days ago),N/A,N/A
Sample Location Name,6 Marla,3.0,3.0,XXXXX,Added: 3 weeks ago,(Updated: 6 days ago),N/A,N/A
Sample Location Name,6 Marla,3.0,4.0,XXXXX,Added: 3 weeks ago,(Updated: 6 days ago),N/A,N/A
Sample Location Name,5 Marla,4.0,4.0,XXXXX,Added: 3 weeks ago,(Updated: 6 days ago),N/A,N/A
Sample Location Name,5 Marla,4.0,4.0,XXXXX,Added: 3 weeks ago,(Updated: 6 days ago),N/A,N/A
Sample Location Name,5 Marla,2.0,2.0,XXXXX,Added: 3 weeks ago,(Updated: 6 days ago),N/A,N/A
Sample Location Name,6 Marla,3.0,3.0,XXXXX,Added: 3 weeks ago,(Updated: 6 days ago),N/A,N/A
Sample Location Name,5 Marla,2.0,2.0,XXXXX,Added: 3 weeks ago,(Updated: 6 days ago),N/A,N/A
Sample Location Name,5 Marla,4.0,4.0,XXXXX,Added: 3 weeks ago,(Updated: 6 days ago),N/A,N/A
Sample Location Name,5 Marla,2.0,2.0,XXXXX,Added: 3 weeks ago,(Updated: 6 days ago),N/A,N/A
Sample Location Name,6 Marla,3.0,3.0,XXXXX,Added: 3 weeks ago,(Updated: 6 days ago),N/A,N/A
Sample Location Name,5 Marla,3.0,3.0,XXXXX,Added: 3 weeks ago,(Updated: 6 days ago),N/A,N/A
Sample Location Name,5 Marla,4.0,4.0,XXXXX,Added: 3 weeks ago,(Updated: 6 days ago),N/A,N/A
Sample Location Name,5 Marla,3.0,3.0,XXXXX,Added: 3 weeks ago,(Updated: 6 days ago),N/A,N/A
Sample Location Name,5 Marla,2.0,2.0,XXXXX,Added: 3 weeks ago,(Updated: 6 days ago),N/A,N/A
Sample Location Name,5 Marla,4.0,5.0,XXXXX,Added: 3 weeks ago,(Updated: 6 days ago),N/A,N/A
Sample Location Name,8 Marla,6.0,6.0,XXXXX,Added: 3 weeks ago,(Updated: 6 days ago),N/A,N/A
Sample Location Name,11 Marla,8.0,,XXXXX,Added: 3 weeks ago,(Updated: 6 days ago),N/A,N/A
Sample Location Name,10 Marla,6.0,6.0,XXXXX,Added: 3 weeks ago,(Updated: 6 days ago),N/A,N/A
Sample Location Name,5 Marla,3.0,3.0,XXXXX,Added: 3 weeks ago,(Updated: 6 days ago),N/A,N/A
Sample Location Name,6 Marla,4.0,4.0,XXXXX,Added: 3 weeks ago,(Updated: 6 days ago),N/A,N/A
Sample Location Name,8 Marla,4.0,4.0,XXXXX,Added: 3 weeks ago,(Updated: 6 days ago),N/A,N/A
Sample Location Name,5 Marla,3.0,4.0,XXXXX,Added: 3 weeks ago,(Updated: 6 days ago),N/A,N/A
Sample Location Name,5 Marla,3.0,5.0,XXXXX,Added: 3 weeks ago,(Updated: 6 days ago),N/A,N/A
Sample Location Name,8 Marla,7.0,6.0,XXXXX,Added: 3 weeks ago,(Updated: 6 days ago),N/A,N/A
Sample Location Name,5 Marla,4.0,4.0,XXXXX,Added: 3 weeks ago,(Updated: 6 days ago),N/A,N/A
Sample Location Name,5 Marla,3.0,3.0,XXXXX,Added: 4 weeks ago,(Updated: 1 week ago),N/A,N/A
Sample Location Name,5 Marla,4.0,5.0,XXXXX,Added: 4 weeks ago,(Updated: 2 weeks ago),N/A,N/A
Sample Location Name,5 Marla,2.0,2.0,XXXXX,Added: 1 month ago,(Updated: 2 weeks ago),N/A,N/A
Sample Location Name,5 Marla,4.0,4.0,XXXXX,Added: 1 month ago,(Updated: 2 weeks ago),N/A,N/A
Sample Location Name,11 Marla,6.0,6.0,XXXXX,Added: 1 month ago,(Updated: 1 week ago),N/A,N/A
Sample Location Name,9.3 Marla,5.0,5.0,XXXXX,Added: 1 month ago,(Updated: 1 week ago),N/A,N/A
Sample Location Name,7.5 Marla,7.0,6.0,XXXXX,Added: 2 months ago,(Updated: 1 month ago),N/A,N/A
Sample Location Name,6 Marla,4.0,6.0,XXXXX,Added: 2 weeks ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,1 Kanal,6.0,6.0,XXXXX,Added: 2 weeks ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,16 Marla,6.0,6.0,XXXXX,Added: 2 weeks ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,5 Marla,4.0,4.0,XXXXX,Added: 2 weeks ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,1 Kanal,4.0,4.0,XXXXX,Added: 2 weeks ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,1 Kanal,6.0,6.0,XXXXX,Added: 2 weeks ago,(Updated: 20 hours ago),N/A,N/A
Sample Location Name,5 Marla,4.0,4.0,XXXXX,Added: 3 weeks ago,(Updated: 1 week ago),N/A,N/A
Sample Location Name,5 Marla,4.0,4.0,XXXXX,Added: 3 weeks ago,(Updated: 1 week ago),N/A,N/A
Sample Location Name,6 Marla,2.0,3.0,XXXXX,Added: 3 weeks ago,(Updated: 1 week ago),N/A,N/A
Sample Location Name,5 Marla,2.0,2.0,XXXXX,Added: 2 months ago,(Updated: 1 month ago),N/A,N/A
